D1,D2,D3,D4,D5,S1,S2,S3,S4,medsq2,precmed
0.530075133,0.7334975,0.020556748,0.373287648,0.368939847,1.04044199,-0.822965562,-0.430219442,-0.326136529,784,90444
-2.316338301,-0.856310308,0.099218696,0.053209096,-0.538099825,-1.511492014,0.82916218,-0.346739352,0.92812109,930,107108
-1.990799785,-0.515084028,0.171820134,-0.336921841,-0.286766022,-1.135529995,0.780985713,-0.381519884,-0.329021454,573,36476
-1.749194264,-0.334922016,0.677394688,-0.127352968,-0.155527472,-1.330417871,-0.916612983,0.275347769,-0.243932426,#N/A,41488
-2.2406106,-0.399858028,-0.050236762,-0.102902099,-0.135154113,-1.178737998,0.68076241,-0.433307648,0.022010811,977,101298
-1.733861566,-0.727994084,-0.633909762,-0.136378765,-0.503495574,-1.361423492,0.993542671,-0.385530114,0.78083241,769,83106
-1.237435579,-0.467945099,-0.593599558,0.178552464,-0.195321366,-1.097502232,0.800924778,-0.00575681,0.24559021,854,82298
-2.064040661,-0.963408947,-0.465142727,-0.01222004,-0.756718159,-1.382395387,0.910642505,-0.415316015,0.447970182,689,55543
-2.116567612,-0.441242933,-0.257621646,-0.24566716,0.692304254,-1.440177441,0.843016624,-0.471447706,0.985588968,544,51486
-1.96082294,-0.638887525,0.339841992,-0.112427279,-0.554164469,-1.632452488,-0.341779321,0.578306377,0.532498658,871,86875
-2.025659084,-0.606725454,0.982245147,0.137423247,-0.270279527,-1.095627666,-0.666729748,0.01611907,0.170217335,#N/A,48987
-1.537222505,-0.466370583,0.790114105,0.150743961,-0.130287945,-1.126343608,-0.154131919,0.066203743,0.829689741,#N/A,29320
-1.872149467,-0.756174386,0.413355082,0.051664531,-0.648740172,-1.583875179,-0.559168696,0.807641089,0.313053608,654,46176
-2.401444674,-0.85567534,0.480631858,-0.238335624,0.146685496,-1.34970665,0.320338726,-0.057476029,0.1807217,#N/A,26182
-1.80566144,-0.708793938,0.18969059,-0.066674247,-0.733668447,-1.514346361,-0.486415267,0.506586254,-0.630253911,#N/A,33039
-2.106102467,-0.748058617,-0.166085139,-0.012619056,-0.596704185,-1.457680345,0.734809518,-0.228639692,0.267088383,#N/A,31602
-2.264777899,-0.975730956,-0.05997096,0.060034402,-0.68198204,-1.916344881,0.435012966,-0.004055098,0.693428278,#N/A,44598
-1.953428864,-0.804025769,-0.386844099,0.301160336,-0.645977795,-1.452681422,0.568441391,0.09141627,0.35322845,729,80069
-1.732575417,-0.162382409,0.118222162,-0.154639095,0.332406461,-1.460863352,-0.174780473,0.469494283,-0.110411003,552,32780
-2.480957508,-1.3990587,0.480722696,-0.056110948,-0.899698794,-1.688354492,0.409795612,0.008753307,0.457597673,#N/A,20902
1.896723628,1.437431097,0.573777795,0.45960477,-0.032842964,1.441370487,-0.256967366,-0.201988131,0.059542589,#N/A,30491
-2.108008623,-1.004855514,0.405805409,0.124619342,-0.710966468,-1.814893246,-0.196340218,0.638392091,-0.875817537,#N/A,26486
-1.863157392,-1.196083069,-0.817823946,-0.269339621,-0.559004605,-1.612724662,0.856159091,0.334786624,-0.222478628,#N/A,46780
-1.6691643,-1.278058171,0.906668484,0.395384192,0.386297554,-1.44424665,-0.437550843,0.753905177,0.652816653,#N/A,31907
-2.196679354,-1.336833,0.202192426,0.105805814,-0.915135443,-1.378774643,0.597794771,0.12651813,0.91364044,1505,124308
-2.084996223,-0.614195526,1.104851246,0.157432169,-0.302837163,-1.467706084,-0.629012942,0.57547313,0.19582592,1966,154924
-1.90493381,-0.836767614,1.359291434,-0.032255352,-0.346400261,-1.40998745,-0.895271599,0.780017734,-0.207476526,1714,146119
-2.530431747,-1.027532578,1.44147253,-0.063996486,-0.473232597,-1.867209435,-0.732286453,0.916114807,0.347660422,1449,111030
